               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060776,            0.036238,            0.015196,             0.82858,             0.49829,              0.4942,             0.20119,            0.043049,            0.021727,            0.003853,            0.070023,           0.0033307,           0.0033307
                   1,            0.045359,            0.029668,           0.0051224,             0.86713,             0.54324,              0.5525,             0.27148,            0.038443,             0.02101,           0.0027338,            0.039364,           0.0060043,           0.0060043
                   2,            0.041004,            0.029074,           0.0042466,             0.86832,             0.53945,             0.55899,             0.27991,            0.037868,            0.020953,           0.0025556,           0.0080439,           0.0080179,           0.0080179
                   3,            0.037692,            0.028574,           0.0034701,             0.86768,             0.56085,             0.57334,             0.29724,            0.036534,            0.020869,           0.0016033,             0.00703,             0.00703,             0.00703
                   4,            0.035937,            0.028192,           0.0029598,              0.8712,             0.55988,             0.57179,             0.30822,            0.035405,            0.020248,           0.0012921,             0.00703,             0.00703,             0.00703
                   5,            0.034299,             0.02779,           0.0025373,             0.87122,             0.56612,             0.57611,              0.3139,            0.035197,             0.02029,           0.0014786,             0.00604,             0.00604,             0.00604
                   6,            0.033397,            0.027262,           0.0024105,             0.87481,             0.57358,             0.58984,             0.33084,            0.034421,            0.019693,          0.00085455,             0.00505,             0.00505,             0.00505
                   7,            0.032609,            0.026463,           0.0020443,             0.88116,             0.57291,             0.59186,             0.33327,            0.034285,            0.019906,          0.00082528,             0.00406,             0.00406,             0.00406
                   8,            0.031738,            0.025874,           0.0018288,             0.54814,             0.57992,             0.59635,             0.34262,            0.033674,            0.019526,          0.00070377,             0.00307,             0.00307,             0.00307
                   9,            0.031119,            0.025496,           0.0015903,             0.54864,             0.57799,             0.59707,             0.34754,            0.033496,            0.019282,          0.00061391,             0.00208,             0.00208,             0.00208
