               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077046,            0.039142,            0.022691,             0.75105,             0.27621,             0.29833,             0.10653,            0.051633,            0.020707,            0.015929,            0.070175,           0.0033138,           0.0033138
                   1,            0.054952,            0.029695,            0.011312,             0.61188,             0.57283,             0.63015,             0.25723,            0.049888,            0.016828,           0.0059121,            0.039517,           0.0059891,           0.0059891
                   2,            0.049892,             0.02721,           0.0064082,             0.63528,              0.7117,             0.70121,             0.33454,            0.040991,            0.016682,           0.0052187,           0.0081993,           0.0080044,           0.0080044
                   3,            0.043568,            0.026195,           0.0052489,             0.81594,             0.78597,             0.84752,             0.44046,            0.038665,            0.015991,           0.0039911,             0.00703,             0.00703,             0.00703
                   4,            0.040172,            0.025575,           0.0041566,             0.80393,             0.80443,              0.8484,             0.42928,            0.035689,             0.01612,           0.0034683,             0.00703,             0.00703,             0.00703
                   5,            0.037006,            0.024717,           0.0040254,             0.81024,              0.8063,             0.83971,             0.45358,            0.034252,            0.015912,           0.0043567,             0.00604,             0.00604,             0.00604
                   6,            0.035088,            0.024211,           0.0030239,             0.82181,             0.81703,             0.85998,             0.49477,            0.031761,            0.015307,           0.0045455,             0.00505,             0.00505,             0.00505
                   7,            0.033005,            0.023392,           0.0027874,             0.83079,             0.86242,             0.89043,             0.52179,            0.030544,            0.014712,           0.0037625,             0.00406,             0.00406,             0.00406
                   8,            0.031077,            0.022937,           0.0024711,             0.85204,             0.83292,             0.88343,             0.53107,            0.029841,            0.014507,           0.0033356,             0.00307,             0.00307,             0.00307
                   9,             0.02987,            0.022269,           0.0020623,             0.85858,             0.84753,             0.89878,             0.54189,            0.029293,            0.014513,           0.0030316,             0.00208,             0.00208,             0.00208
